Lat;Lang;Province;Country;2 Days Accuracy: Confirmed Cases;2 Days Accuracy: New Cases;5 Days Accuracy: Confirmed Cases;5 Days Accuracy: New Cases
52.9399;-106.4509;Saskatchewan;Canada;0.6000000000000001;0.05;0.64;0.05
-1.8312;-78.1834;;Ecuador;0.6499999999999999;0.05;0.62;0.36
52.9399;-73.5491;Quebec;Canada;0.7;0.4;0.5599999999999999;0.62
8.538;-80.7821;;Panama;0.7;0.05;0.7200000000000001;0.05
-32.5228;-55.7658;;Uruguay;0.7;0.05;0.82;0.05
-37.8136;144.9631;Victoria;Australia;0.75;0.75;0.52;0.05
61.8926;-6.9118;Faroe Islands;Denmark;0.75;0.05;0.76;0.05
24.0;54.0;;United Arab Emirates;0.75;0.6499999999999999;0.8399999999999999;0.05
31.0;35.0;;Israel;0.75;0.7;0.8400000000000001;0.4600000000000001
41.6086;21.7453;;North Macedonia;0.75;0.05;0.9199999999999999;0.44000000000000006
42.7339;25.4858;;Bulgaria;0.75;0.4;0.9200000000000002;0.3
16.25;-61.5833;Guadeloupe;France;0.8;0.05;0.7799999999999999;0.05
-9.19;-75.0152;;Peru;0.8;0.9500000000000001;0.86;0.44000000000000006
53.9333;-116.5765;Alberta;Canada;0.85;0.05;0.8400000000000001;0.05
34.0;9.0;;Tunisia;0.85;0.44999999999999996;0.8799999999999999;0.58
7.0;81.0;;Sri Lanka;0.8500000000000001;0.05;0.5799999999999998;0.05
28.0339;1.6596;;Algeria;0.8500000000000001;0.75;0.6;0.76
-40.9006;174.886;;New Zealand;0.8500000000000001;0.35;0.66;0.05
40.0691;45.0382;;Armenia;0.8500000000000001;0.05;0.8400000000000001;0.8399999999999999
43.9159;17.6791;;Bosnia and Herzegovina;0.8500000000000001;0.05;0.86;0.96
45.9432;24.9668;;Romania;0.8500000000000001;0.35;0.8800000000000001;0.4800000000000001
35.9375;14.3754;;Malta;0.8500000000000001;0.05;0.9;0.78
30.3753;69.3451;;Pakistan;0.8500000000000001;0.35;0.9;0.9
23.6345;-102.5528;;Mexico;0.8500000000000001;0.95;0.9199999999999999;0.3
35.1264;33.4299;;Cyprus;0.8500000000000001;0.05;0.9800000000000001;0.44000000000000006
38.9637;35.2433;;Turkey;0.9;0.2;0.42000000000000004;0.6799999999999999
55.1694;23.8813;;Lithuania;0.9;0.9;0.5399999999999999;0.76
48.3794;31.1656;;Ukraine;0.9;0.44999999999999996;0.6199999999999999;0.05
45.1;15.2;;Croatia;0.9;0.35;0.6599999999999999;0.54
-34.9285;138.6007;South Australia;Australia;0.9;0.05;0.68;0.05
12.2383;-1.5616;;Burkina Faso;0.9;0.35;0.72;0.38
-38.4161;-63.6167;;Argentina;0.9;0.05;0.76;0.05
-31.9505;115.8605;Western Australia;Australia;0.9;0.05;0.76;0.05
23.7;121.0;;Taiwan*;0.9;0.7;0.76;0.16
-14.235;-51.9253;;Brazil;0.9;0.9;0.78;0.37999999999999995
4.5709;-74.2973;;Colombia;0.9;0.45;0.78;0.5199999999999999
2.5;112.5;;Malaysia;0.9;0.6;0.8;0.36000000000000004
48.669;19.699;;Slovakia;0.9;0.55;0.82;0.05
31.24;36.51;;Jordan;0.9;0.35;0.82;0.05
-30.5595;22.9375;;South Africa;0.9;0.30000000000000004;0.8200000000000001;0.56
16.0;108.0;;Vietnam;0.9;0.85;0.8400000000000001;0.42000000000000004
21.0;78.0;;India;0.9;0.05;0.8400000000000001;0.4
56.8796;24.6032;;Latvia;0.9;0.85;0.8400000000000001;0.42000000000000004
14.6415;-61.0242;Martinique;France;0.9;0.05;0.86;0.05
15.0;101.0;;Thailand;0.9;0.6000000000000001;0.9;0.48
33.0;44.0;;Iraq;0.9;0.25;0.9;0.6799999999999999
47.1625;19.5033;;Hungary;0.9;0.35;0.9;0.33999999999999997
24.0;45.0;;Saudi Arabia;0.9;0.3;0.9199999999999999;0.4
64.9631;-19.0208;;Iceland;0.9;0.2;0.9200000000000002;0.05
47.4116;28.3699;;Moldova;0.9;0.15000000000000002;0.9399999999999998;0.45999999999999996
31.7917;-7.0926;;Morocco;0.9;0.30000000000000004;0.9400000000000001;0.44000000000000006
9.7489;-83.7534;;Costa Rica;0.9;0.55;0.96;0.19999999999999998
29.5;47.75;;Kuwait;0.9;0.05;0.96;0.05
43.9424;12.4578;;San Marino;0.9;0.05;0.9800000000000001;0.05
18.7357;-70.1627;;Dominican Republic;0.95;0.15000000000000002;0.5199999999999999;0.8
-21.1351;55.2471;Reunion;France;0.95;0.25;0.6399999999999999;0.7
44.682;-63.7443;Nova Scotia;Canada;0.95;0.2;0.66;0.6799999999999999
58.5953;25.0136;;Estonia;0.95;0.39999999999999997;0.74;0.1
37.0902;-95.7129;;US;0.95;0.05;0.8;0.44000000000000006
49.8175;15.473;;Czechia;0.95;0.2;0.8;0.32000000000000006
32.0;53.0;;Iran;0.95;0.35;0.8200000000000001;0.26
39.0742;21.8243;;Greece;0.95;0.5;0.8400000000000001;0.4
33.8547;35.8623;;Lebanon;0.95;0.05;0.8400000000000001;0.42000000000000004
-33.8688;151.2093;New South Wales;Australia;0.95;0.15000000000000002;0.86;0.05
41.1533;20.1683;;Albania;0.95;0.25;0.86;0.64
46.2276;2.2137;;France;0.95;0.25;0.8600000000000001;0.24000000000000005
40.0;-4.0;;Spain;0.95;0.30000000000000004;0.9;0.25999999999999995
39.3999;-8.2245;;Portugal;0.95;0.4;0.9;0.3
60.0;90.0;;Russia;0.95;0.45;0.9;0.22000000000000003
49.2827;-123.1207;British Columbia;Canada;0.95;0.05;0.9399999999999998;0.05
-35.6751;-71.543;;Chile;0.95;0.2;0.9400000000000001;0.2
47.5162;14.5501;;Austria;0.95;0.05;0.96;0.38
50.8333;4.0;;Belgium;0.95;0.15000000000000002;0.96;0.24
55.3781;-3.4360000000000004;;United Kingdom;0.95;0.2;0.96;0.38
26.0;30.0;;Egypt;0.99;0.15000000000000002;0.72;0.05
43.0;12.0;;Italy;0.99;0.35;0.72;0.2
1.2833;103.8333;;Singapore;0.99;0.25;0.76;0.4600000000000001
13.0;122.0;;Philippines;0.99;0.25;0.7600000000000001;0.7799999999999999
51.0;9.0;;Germany;0.99;0.15000000000000002;0.78;0.36
56.2639;9.5018;;Denmark;0.99;0.55;0.78;0.48
4.5353;114.7277;;Brunei;0.99;0.35;0.8;0.3
63.0;16.0;;Sweden;0.99;0.25;0.8200000000000001;0.27999999999999997
53.1424;-7.6921;;Ireland;0.99;0.05;0.86;0.42000000000000004
-0.7893;113.9213;;Indonesia;0.99;0.05;0.8799999999999999;0.2
52.1326;5.2913;;Netherlands;0.99;0.05;0.8800000000000001;0.2
49.8153;6.1296;;Luxembourg;0.99;0.25;0.8800000000000001;0.41999999999999993
46.8182;8.2275;;Switzerland;0.99;0.4;0.9;0.22000000000000003
44.0165;21.0059;;Serbia;0.99;0.1;0.9;0.5
42.5063;1.5218;;Andorra;0.99;0.2;0.9;0.2
25.3548;51.1839;;Qatar;0.99;0.8500000000000001;0.9;0.64
-28.0167;153.4;Queensland;Australia;0.99;0.4;0.9199999999999999;0.4
51.2538;-85.3232;Ontario;Canada;0.99;0.1;0.9199999999999999;0.24000000000000005
46.1512;14.9955;;Slovenia;0.99;0.15;0.9400000000000001;0.38
60.472;8.4689;;Norway;0.99;0.35;0.9400000000000001;0.28
26.0275;50.55;;Bahrain;0.99;0.9;0.9400000000000001;0.4800000000000001
51.9194;19.1451;;Poland;0.99;0.05;0.96;0.28
64.0;26.0;;Finland;0.99;0.25;0.9800000000000001;0.27999999999999997
36.0;128.0;;Korea, South;0.99;0.8;0.99;0.5599999999999999
36.0;138.0;;Japan;0.99;0.25;0.99;0.6799999999999999
