Lat,Lang,Province,Country,2 Days Accuracy: Confirmed Cases,2 Days Accuracy: Active Cases,2 Days Accuracy: New Cases,5 Days Accuracy: Confirmed Cases,5 Days Accuracy: Active Cases,5 Days Accuracy: New Cases,14 Days Accuracy: Confirmed Cases,14 Days Accuracy: Active Cases,14 Days Accuracy: New Cases,30 Days Accuracy: Confirmed Cases,30 Days Accuracy: Active Cases,30 Days Accuracy: New Cases
-30.5595,22.9375,,South Africa,0.4,0.75,0.05,0.9199999999999999,0.8,0.05,0.08,0.06,0.86,0.0,0.0,0.47
41.5978,-72.7554,Connecticut,US,0.6,0.65,0.05,0.6599999999999999,0.64,0.05,0.38,0.0,0.05,0.0,0.0,0.37
-28.0167,153.4,Queensland,Australia,0.6,0.55,0.05,0.78,0.66,0.05,0.34,0.26,0.79,0.28,0.45,0.5
49.2827,-123.1207,British Columbia,Canada,0.6,0.6499999999999999,0.05,0.86,0.82,0.05,0.42,0.4,0.71,0.39,0.37,0.57
48.669,19.699,,Slovakia,0.65,0.7,0.05,0.8399999999999999,0.8800000000000001,0.05,0.09,0.06,0.93,0.0,0.0,0.5
38.9637,35.2433,,Turkey,0.7,0.75,0.05,0.33999999999999997,0.28,0.05,0.0,0.0,0.05,0.0,0.0,0.33
33.8569,-80.945,South Carolina,US,0.7,0.7,0.05,0.56,0.5199999999999999,0.05,0.0,0.0,0.86,0.0,0.0,0.4
31.0545,-97.5635,Texas,US,0.7,0.55,0.05,0.62,0.66,0.05,0.0,0.0,0.93,0.0,0.0,0.43
38.5266,-96.7265,Kansas,US,0.7,0.65,0.05,0.6799999999999999,0.56,0.8400000000000001,0.0,0.0,0.05,0.19,0.0,0.3
33.0406,-83.6431,Georgia,US,0.7,0.75,0.05,0.7799999999999999,0.78,0.05,0.0,0.0,0.93,0.0,0.0,0.43
32.3182,-86.9023,Alabama,US,0.7,0.55,0.05,0.8800000000000001,0.74,0.05,0.0,0.0,0.05,0.0,0.0,0.33
30.3753,69.3451,,Pakistan,0.7,0.7,0.05,0.9,0.82,0.05,0.11,0.1,0.93,0.0,0.0,0.57
51.0,9.0,,Germany,0.7,0.8,0.05,0.9199999999999999,0.9199999999999999,0.05,0.25,0.2,0.05,0.04,0.07,0.9
52.9399,-106.4509,Saskatchewan,Canada,0.75,0.8,0.05,0.45999999999999996,0.45999999999999996,0.7,0.0,0.0,0.05,0.0,0.0,0.23
42.0115,-93.2105,Iowa,US,0.75,0.9,0.05,0.64,0.58,0.96,0.0,0.0,0.79,0.0,0.0,0.37
53.1424,-7.6921,,Ireland,0.75,0.75,0.05,0.7,0.74,0.05,0.18,0.18,0.79,0.0,0.0,0.57
46.8182,8.2275,,Switzerland,0.75,0.8,0.05,0.7999999999999999,0.8800000000000001,0.05,0.26,0.22,0.05,0.0,0.0,0.77
44.0459,-72.7107,Vermont,US,0.75,0.75,0.05,0.86,0.8799999999999999,0.05,0.0,0.0,0.05,0.0,0.0,0.3
49.8175,15.473,,Czechia,0.75,0.7,0.05,0.8600000000000001,0.8200000000000001,0.05,0.16,0.16,0.92,0.04,0.0,0.67
43.3266,-84.5361,Michigan,US,0.8,0.85,0.05,0.21999999999999997,0.21999999999999997,0.05,0.0,0.0,0.05,0.0,0.0,0.37
33.7298,-111.4312,Arizona,US,0.8,0.9,0.05,0.4600000000000001,0.4,0.05,0.0,0.0,0.79,0.0,0.0,0.37
35.6301,-79.8064,North Carolina,US,0.8,0.8,0.05,0.58,0.5399999999999999,0.05,0.0,0.0,0.86,0.0,0.0,0.4
35.5653,-96.9289,Oklahoma,US,0.8,0.8,0.05,0.5800000000000001,0.6199999999999999,0.05,0.0,0.0,0.05,0.0,0.0,0.3
37.6681,-84.6701,Kentucky,US,0.8,0.75,0.05,0.6,0.5399999999999999,0.6799999999999999,0.0,0.0,0.86,0.0,0.0,0.4
49.8153,6.1296,,Luxembourg,0.8,0.6000000000000001,0.05,0.62,0.58,0.05,0.11,0.11,0.93,0.0,0.0,0.53
