uid,Lat,Lang,Province,Country,2 Days Accuracy Confirmed Cases,2 Days Accuracy Active Cases,2 Days Accuracy New Cases,5 Days Accuracy Confirmed Cases,5 Days Accuracy Active Cases,5 Days Accuracy New Cases
Australia - Australian Capital Territory,-35.4735,149.0124,Australian Capital Territory,Australia,0.4,0.8500000000000001,0.05,0.82,0.72,0.05
Canada - Newfoundland and Labrador,53.1355,-57.6604,Newfoundland and Labrador,Canada,0.45,0.8,0.05,0.6,0.5399999999999999,0.05
Ghana,7.9465,-1.0232,,Ghana,0.5,0.55,0.05,0.6799999999999999,0.7,0.05
South Africa,-30.5595,22.9375,,South Africa,0.6,0.75,0.05,0.9200000000000002,0.86,0.05
Mauritius,-20.2,57.5,,Mauritius,0.65,0.6,0.05,0.82,0.8800000000000001,0.05
Canada - Manitoba,53.7609,-98.8139,Manitoba,Canada,0.7,0.7,0.65,0.5199999999999999,0.5199999999999999,0.99
Afghanistan,33.0,65.0,,Afghanistan,0.7,0.7,0.05,0.8799999999999999,0.7000000000000001,0.05
United Kingdom - Gibraltar,36.1408,-5.3536,Gibraltar,United Kingdom,0.7,0.8,0.05,0.4999999999999999,0.38,0.99
United Kingdom - Channel Islands,49.3723,-2.3644,Channel Islands,United Kingdom,0.75,0.75,0.05,0.66,0.7200000000000001,0.52
Canada - Alberta,53.9333,-116.5765,Alberta,Canada,0.75,0.75,0.05,0.8200000000000001,0.8,0.05
Cuba,22.0,-80.0,,Cuba,0.8,0.8,0.4,0.9199999999999999,0.9400000000000001,0.27999999999999997
Kazakhstan,48.0196,66.9237,,Kazakhstan,0.8,0.8,0.44999999999999996,0.6799999999999999,0.7,0.7
Australia - South Australia,-34.9285,138.6007,South Australia,Australia,0.8,0.8,0.05,0.78,0.7200000000000001,0.05
Serbia,44.0165,21.0059,,Serbia,0.8,0.8500000000000001,0.6000000000000001,0.9,0.9200000000000002,0.05
New Zealand,-40.9006,174.886,,New Zealand,0.8,0.95,0.3,0.78,0.8400000000000001,0.28
France - Guadeloupe,16.25,-61.5833,Guadeloupe,France,0.8,0.99,0.99,0.9199999999999999,0.9,0.05
Cote d'Ivoire,7.54,-5.5471,,Cote d'Ivoire,0.85,0.85,0.05,0.8799999999999999,0.8400000000000001,0.05
Jordan,31.24,36.51,,Jordan,0.8500000000000001,0.75,0.05,0.9199999999999999,0.76,0.05
North Macedonia,41.6086,21.7453,,North Macedonia,0.8500000000000001,0.8500000000000001,0.44999999999999996,0.8200000000000001,0.8800000000000001,0.05
Saudi Arabia,24.0,45.0,,Saudi Arabia,0.8500000000000001,0.8500000000000001,0.5,0.8200000000000001,0.8399999999999999,0.05
Croatia,45.1,15.2,,Croatia,0.8500000000000001,0.8500000000000001,0.55,0.78,0.7000000000000001,0.9600000000000002
Philippines,13.0,122.0,,Philippines,0.8500000000000001,0.8500000000000001,0.6499999999999999,0.9,0.9400000000000001,0.5399999999999999
Australia - Queensland,-28.0167,153.4,Queensland,Australia,0.8500000000000001,0.8500000000000001,0.85,0.7200000000000001,0.76,0.05
Albania,41.1533,20.1683,,Albania,0.8500000000000001,0.8500000000000001,0.05,0.9400000000000001,0.96,0.74
Estonia,58.5953,25.0136,,Estonia,0.8500000000000001,0.8500000000000001,0.05,0.8400000000000001,0.82,0.6
Austria,47.5162,14.5501,,Austria,0.8500000000000001,0.8500000000000001,0.05,0.78,0.86,0.05
Cameroon,3.8480000000000003,11.5021,,Cameroon,0.8500000000000001,0.8500000000000001,0.05,0.7,0.54,0.05
Venezuela,6.4238,-66.5897,,Venezuela,0.8500000000000001,0.8500000000000001,0.05,0.9199999999999999,0.8,0.05
Canada - Quebec,52.9399,-73.5491,Quebec,Canada,0.8500000000000001,0.9,0.2,0.8200000000000001,0.8799999999999999,0.22000000000000003
Lithuania,55.1694,23.8813,,Lithuania,0.8500000000000001,0.9,0.35,0.9,0.8400000000000001,0.05
Canada - Saskatchewan,52.9399,-106.4509,Saskatchewan,Canada,0.8500000000000001,0.9,0.4,0.78,0.76,0.05
Ecuador,-1.8312,-78.1834,,Ecuador,0.8500000000000001,0.9,0.9,0.6799999999999999,0.78,0.05
Argentina,-38.4161,-63.6167,,Argentina,0.8500000000000001,0.95,0.65,0.7999999999999999,0.8,0.05
Bahrain,26.0275,50.55,,Bahrain,0.9,0.75,0.05,0.99,0.9,0.9599999999999997
