Country,Date,Forecast Active Cases,Forecast Active Cases Lower Bound,Forecast Active Cases Upper Bound,Forecast Confirmed Cases,Forecast Confirmed Cases Lower Bound,Forecast Confirmed Cases Upper Bound,Forecast New Cases,Forecast New Cases Lower Bound,Forecast New Cases Upper Bound,Lang,Lat,Province,uid
Vietnam,2020-03-29,163,163,163,188,188,188,14,14,14,108.0,16.0,,Vietnam
Latvia,2020-03-29,346,346,346,347,347,347,42,42,42,24.6032,56.8796,,Latvia
Lebanon,2020-03-29,398,398,398,438,438,438,26,26,26,35.8623,33.8547,,Lebanon
Romania,2020-03-29,1566,1566,1566,1815,1815,1815,363,363,363,24.9668,45.9432,,Romania
Kuwait,2020-03-29,188,188,188,255,255,255,20,20,20,47.75,29.5,,Kuwait
Russia,2020-03-29,1462,1462,1462,1534,1534,1534,270,270,270,90.0,60.0,,Russia
Jordan,2020-03-29,238,238,238,259,259,259,13,13,13,36.51,31.24,,Jordan
North Macedonia,2020-03-29,250,250,250,259,259,259,18,18,18,21.7453,41.6086,,North Macedonia
San Marino,2020-03-29,196,196,196,224,224,224,0,0,0,12.4578,43.9424,,San Marino
"Korea, South",2020-03-29,4398,4398,4398,9583,9583,9583,105,105,105,128.0,36.0,,"Korea, South"
Singapore,2020-03-29,629,629,629,844,844,844,42,42,42,103.8333,1.2833,,Singapore
Kazakhstan,2020-03-29,263,263,263,284,284,284,56,56,56,66.9237,48.0196,,Kazakhstan
Norway,2020-03-29,4252,4252,4252,4284,4284,4284,269,269,269,8.4689,60.472,,Norway
Spain,2020-03-29,58598,58598,58598,80110,80110,80110,6875,6875,6875,-4.0,40.0,,Spain
Andorra,2020-03-29,327,327,327,334,334,334,26,26,26,1.5218,42.5063,,Andorra
Slovakia,2020-03-29,312,312,312,314,314,314,22,22,22,19.699,48.669,,Slovakia
Senegal,2020-03-29,115,115,115,142,142,142,12,12,12,-14.4524,14.4974,,Senegal
Peru,2020-03-29,818,818,818,852,852,852,181,181,181,-75.0152,-9.19,,Peru
Philippines,2020-03-29,1305,1305,1305,1418,1418,1418,343,343,343,122.0,13.0,,Philippines
Slovenia,2020-03-29,709,709,709,730,730,730,46,46,46,14.9955,46.1512,,Slovenia
Mexico,2020-03-29,828,828,828,848,848,848,131,131,131,-102.5528,23.6345,,Mexico
Serbia,2020-03-29,728,728,728,741,741,741,82,82,82,21.0059,44.0165,,Serbia
Morocco,2020-03-29,440,440,440,479,479,479,77,77,77,-7.0926,31.7917,,Morocco
Mauritius,2020-03-29,104,104,104,107,107,107,5,5,5,57.5,-20.2,,Mauritius
Armenia,2020-03-29,391,391,391,424,424,424,17,17,17,45.0382,40.0691,,Armenia
Afghanistan,2020-03-29,114,114,114,120,120,120,10,10,10,65.0,33.0,,Afghanistan
Malta,2020-03-29,149,149,149,151,151,151,2,2,2,14.3754,35.9375,,Malta
Lithuania,2020-03-29,452,452,452,460,460,460,66,66,66,23.8813,55.1694,,Lithuania
Poland,2020-03-29,1833,1833,1833,1862,1862,1862,224,224,224,19.1451,51.9194,,Poland
Malaysia,2020-03-29,2047,2047,2047,2470,2470,2470,150,150,150,112.5,2.5,,Malaysia
Panama,2020-03-29,880,880,880,901,901,901,115,115,115,-80.7821,8.538,,Panama
Portugal,2020-03-29,5800,5800,5800,5962,5962,5962,792,792,792,-8.2245,39.3999,,Portugal
New Zealand,2020-03-29,457,457,457,514,514,514,63,63,63,174.886,-40.9006,,New Zealand
Argentina,2020-03-29,654,654,654,745,745,745,55,55,55,-63.6167,-38.4161,,Argentina
Qatar,2020-03-29,585,585,585,634,634,634,44,44,44,51.1839,25.3548,,Qatar
South Africa,2020-03-29,1247,1247,1247,1280,1280,1280,93,93,93,22.9375,-30.5595,,South Africa
Pakistan,2020-03-29,1554,1554,1554,1597,1597,1597,102,102,102,69.3451,30.3753,,Pakistan
Luxembourg,2020-03-29,1889,1889,1889,1950,1950,1950,119,119,119,6.1296,49.8153,,Luxembourg
Moldova,2020-03-29,259,259,259,263,263,263,32,32,32,28.3699,47.4116,,Moldova
Netherlands,2020-03-29,9845,9845,9845,10866,10866,10866,1104,1104,1104,5.2913,52.1326,,Netherlands
Oman,2020-03-29,144,144,144,167,167,167,15,15,15,57.0,21.0,,Oman
Bahrain,2020-03-29,223,223,223,499,499,499,23,23,23,50.55,26.0275,,Bahrain
Sri Lanka,2020-03-29,105,105,105,117,117,117,4,4,4,81.0,7.0,,Sri Lanka
Canada,2020-03-29,117,117,117,122,122,122,12,12,12,-63.7443,44.681999999999995,Nova Scotia,Canada - Nova Scotia
Canada,2020-03-29,1329,1329,1329,1355,1355,1355,211,211,211,-85.3232,51.2538,Ontario,Canada - Ontario
Canada,2020-03-29,2813,2813,2813,2840,2840,2840,342,342,342,-73.5491,52.9399,Quebec,Canada - Quebec
Canada,2020-03-29,151,151,151,156,156,156,22,22,22,-106.4509,52.9399,Saskatchewan,Canada - Saskatchewan
Saudi Arabia,2020-03-29,1225,1225,1225,1299,1299,1299,96,96,96,45.0,24.0,,Saudi Arabia
United Kingdom,2020-03-29,106,106,106,108,108,108,11,11,11,-2.3644,49.3723,Channel Islands,United Kingdom - Channel Islands
Australia,2020-03-29,281,281,281,311,311,311,33,33,33,115.8605,-31.9505,Western Australia,Australia - Western Australia
United Kingdom,2020-03-29,51,51,51,65,65,65,9,9,9,-5.3536,36.1408,Gibraltar,United Kingdom - Gibraltar
Chile,2020-03-29,2057,2057,2057,2139,2139,2139,230,230,230,-71.543,-35.6751,,Chile
Costa Rica,2020-03-29,309,309,309,314,314,314,19,19,19,-83.7534,9.7489,,Costa Rica
Cote d'Ivoire,2020-03-29,160,160,160,165,165,165,64,64,64,-5.5471,7.54,,Cote d'Ivoire
United Arab Emirates,2020-03-29,509,509,509,570,570,570,102,102,102,54.0,24.0,,United Arab Emirates
Croatia,2020-03-29,655,655,655,713,713,713,56,56,56,15.2,45.1,,Croatia
Australia,2020-03-29,574,574,574,769,769,769,84,84,84,144.9631,-37.8136,Victoria,Australia - Victoria
Cuba,2020-03-29,132,132,132,139,139,139,20,20,20,-80.0,22.0,,Cuba
Cyprus,2020-03-29,194,194,194,214,214,214,35,35,35,33.4299,35.1264,,Cyprus
Colombia,2020-03-29,682,682,682,702,702,702,94,94,94,-74.2973,4.5709,,Colombia
Austria,2020-03-29,8223,8223,8223,8788,8788,8788,517,517,517,14.5501,47.5162,,Austria
Canada,2020-03-29,61,61,61,66,66,66,15,15,15,-66.4619,46.5653,New Brunswick,Canada - New Brunswick
Canada,2020-03-29,66,66,66,72,72,72,8,8,8,-98.8139,53.7609,Manitoba,Canada - Manitoba
Belgium,2020-03-29,9046,9046,9046,10836,10836,10836,1702,1702,1702,4.0,50.8333,,Belgium
Australia,2020-03-29,75,75,75,77,77,77,6,6,6,149.0124,-35.4735,Australian Capital Territory,Australia - Australian Capital Territory
Bosnia and Herzegovina,2020-03-29,309,309,309,323,323,323,65,65,65,17.6791,43.9159,,Bosnia and Herzegovina
US,2020-03-29,135754,135754,135754,140886,140886,140886,19408,19408,19408,-95.7129,37.0902,,US
Brazil,2020-03-29,4114,4114,4114,4256,4256,4256,352,352,352,-51.9253,-14.235,,Brazil
Azerbaijan,2020-03-29,190,190,190,209,209,209,27,27,27,47.5769,40.1431,,Azerbaijan
Brunei,2020-03-29,91,91,91,126,126,126,6,6,6,114.7277,4.5353,,Brunei
Bulgaria,2020-03-29,324,324,324,346,346,346,15,15,15,25.4858,42.7339,,Bulgaria
Burkina Faso,2020-03-29,187,187,187,222,222,222,15,15,15,-1.5616,12.2383,,Burkina Faso
Algeria,2020-03-29,449,449,449,511,511,511,57,57,57,1.6596,28.0339,,Algeria
Uruguay,2020-03-29,303,303,303,304,304,304,30,30,30,-55.7658,-32.5228,,Uruguay
Uzbekistan,2020-03-29,135,135,135,144,144,144,40,40,40,64.5853,41.3775,,Uzbekistan
Canada,2020-03-29,614,614,614,621,621,621,79,79,79,-116.5765,53.9333,Alberta,Canada - Alberta
Canada,2020-03-29,862,862,862,884,884,884,0,0,0,-123.1207,49.2827,British Columbia,Canada - British Columbia
United Kingdom,2020-03-29,18159,18159,18159,19522,19522,19522,2433,2433,2433,-3.4360000000000004,55.3781,,United Kingdom
Czechia,2020-03-29,2790,2790,2790,2817,2817,2817,186,186,186,15.472999999999999,49.8175,,Czechia
Ukraine,2020-03-29,459,459,459,475,475,475,119,119,119,31.1656,48.3794,,Ukraine
Canada,2020-03-29,130,130,130,135,135,135,15,15,15,-57.6604,53.1355,Newfoundland and Labrador,Canada - Newfoundland and Labrador
Denmark,2020-03-29,2322,2322,2322,2395,2395,2395,194,194,194,9.5018,56.2639,,Denmark
Greece,2020-03-29,1066,1066,1066,1156,1156,1156,95,95,95,21.8243,39.0742,,Greece
Taiwan*,2020-03-29,266,266,266,298,298,298,15,15,15,121.0,23.7,,Taiwan*
Australia,2020-03-29,646,646,646,656,656,656,31,31,31,153.4,-28.0167,Queensland,Australia - Queensland
Hungary,2020-03-29,361,361,361,408,408,408,65,65,65,19.5033,47.1625,,Hungary
Iceland,2020-03-29,883,883,883,1020,1020,1020,57,57,57,-19.0208,64.9631,,Iceland
India,2020-03-29,902,902,902,1024,1024,1024,37,37,37,78.0,21.0,,India
Albania,2020-03-29,169,169,169,212,212,212,15,15,15,20.1683,41.1533,,Albania
Indonesia,2020-03-29,1107,1107,1107,1285,1285,1285,130,130,130,113.9213,-0.7893,,Indonesia
Iraq,2020-03-29,362,362,362,547,547,547,41,41,41,44.0,33.0,,Iraq
Australia,2020-03-29,1779,1779,1779,1791,1791,1791,174,174,174,151.2093,-33.8688,New South Wales,Australia - New South Wales
Sweden,2020-03-29,3574,3574,3574,3700,3700,3700,253,253,253,16.0,63.0,,Sweden
Ireland,2020-03-29,2564,2564,2564,2615,2615,2615,200,200,200,-7.6921,53.1424,,Ireland
Israel,2020-03-29,4100,4100,4100,4247,4247,4247,628,628,628,35.0,31.0,,Israel
Italy,2020-03-29,73880,73880,73880,97689,97689,97689,5217,5217,5217,12.0,43.0,,Italy
Denmark,2020-03-29,89,89,89,159,159,159,4,4,4,-6.9118,61.8926,Faroe Islands,Denmark - Faroe Islands
Iran,2020-03-29,23278,23278,23278,38309,38309,38309,2901,2901,2901,53.0,32.0,,Iran
Japan,2020-03-29,1388,1388,1388,1866,1866,1866,173,173,173,138.0,36.0,,Japan
Switzerland,2020-03-29,12934,12934,12934,14829,14829,14829,753,753,753,8.2275,46.8182,,Switzerland
Germany,2020-03-29,52351,52351,52351,62095,62095,62095,4400,4400,4400,9.0,51.0,,Germany
Australia,2020-03-29,61,61,61,66,66,66,4,4,4,145.9707,-41.4545,Tasmania,Australia - Tasmania
Ghana,2020-03-29,145,145,145,152,152,152,11,11,11,-1.0232,7.9465,,Ghana
Dominican Republic,2020-03-29,817,817,817,859,859,859,140,140,140,-70.1627,18.7357,,Dominican Republic
Ecuador,2020-03-29,1863,1863,1863,1924,1924,1924,101,101,101,-78.1834,-1.8312,,Ecuador
Turkey,2020-03-29,8981,8981,8981,9217,9217,9217,1815,1815,1815,35.2433,38.9637,,Turkey
Egypt,2020-03-29,437,437,437,609,609,609,33,33,33,30.0,26.0,,Egypt
Finland,2020-03-29,1219,1219,1219,1240,1240,1240,73,73,73,26.0,64.0,,Finland
France,2020-03-29,85,85,85,106,106,106,4,4,4,-61.5833,16.25,Guadeloupe,France - Guadeloupe
Estonia,2020-03-29,656,656,656,679,679,679,34,34,34,25.0136,58.5953,,Estonia
Tunisia,2020-03-29,302,302,302,312,312,312,34,34,34,9.0,34.0,,Tunisia
France,2020-03-29,63,63,63,63,63,63,0,0,0,45.1662,-12.8275,Mayotte,France - Mayotte
France,2020-03-29,182,182,182,183,183,183,0,0,0,55.2471,-21.1351,Reunion,France - Reunion
