Province,Country,uid,Date,Total Confirmed Cases,Total Deaths,Total Recovered,Active Cases,New Cases,New Deaths,New Recovered,Closed cases,Death Rate Based on Confirmed cases,Death Rate Based on Closed cases,Lat Lang,Benchmark
,Afghanistan,Afghanistan,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"33.0,65.0",0.02
,Guinea,Guinea,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"9.9456,-9.6966",0.02
,Venezuela,Venezuela,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"6.4238,-66.5897",0.02
,Guatemala,Guatemala,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"15.7835,-90.2308",0.02
,Greece,Greece,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"39.0742,21.8243",0.02
Gansu,China,China - Gansu,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"37.8099,101.0583",0.02
Queensland,Australia,Australia - Queensland,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"-28.0167,153.4",0.02
,Ghana,Ghana,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"7.9465,-1.0232",0.02
,Vietnam,Vietnam,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"16.0,108.0",0.02
,Germany,Germany,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"51.0,9.0",0.02
Guangdong,China,China - Guangdong,2020-01-22,26,0,0,26,0,0,0.0,0.0,0.0,0.0,"23.3417,113.4244",0.02
,Zambia,Zambia,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"-15.4167,28.2833",0.02
,Uzbekistan,Uzbekistan,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"41.3775,64.5853",0.02
,Georgia,Georgia,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"42.3154,43.3569",0.02
,Gambia,Gambia,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"13.4432,-15.3101",0.02
,Gabon,Gabon,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"-0.8037,11.6094",0.02
Guangxi,China,China - Guangxi,2020-01-22,2,0,0,2,0,0,0.0,0.0,0.0,0.0,"23.8298,108.7881",0.02
