Lat;Lang;Province;Country;Date;Forecast Confirmed Cases;Forecast Confirmed Cases Upper Bound;Forecast Confirmed Cases Lower Bound;Forecast Active Cases;Forecast Active Cases Upper Bound;Forecast Active Cases Lower Bound;Forecast New Cases;Forecast New Cases Upper Bound;Forecast New Cases Lower Bound
15.0;101.0;;Thailand;2020-03-23;740;580;892;688;495;863;134;28;232
15.0;101.0;;Thailand;2020-03-24;890;591;1215;791;576;1154;169;50;282
36.0;138.0;;Japan;2020-03-23;1120;1068;1178;815;738;920;58;27;89
36.0;138.0;;Japan;2020-03-24;1171;1078;1267;836;726;955;67;37;101
1.2833;103.8333;;Singapore;2020-03-23;518;469;567;385;307;395;53;17;88
1.2833;103.8333;;Singapore;2020-03-24;581;482;665;406;315;490;52;4;94
2.5;112.5;;Malaysia;2020-03-23;1553;1377;1743;1327;1149;1506;169;53;278
2.5;112.5;;Malaysia;2020-03-24;1771;1469;2112;1503;1231;1766;204;50;349
49.2827;-123.1207;British Columbia;Canada;2020-03-23;569;475;640;536;438;657;100;29;175
49.2827;-123.1207;British Columbia;Canada;2020-03-24;705;529;868;640;423;878;107;18;202
-33.8688;151.2093;New South Wales;Australia;2020-03-23;628;525;722;620;531;745;113;50;183
-33.8688;151.2093;New South Wales;Australia;2020-03-24;676;597;909;724;530;932;115;25;196
-37.8136;144.9631;Victoria;Australia;2020-03-23;369;297;444;304;242;374;69;0;152
-37.8136;144.9631;Victoria;Australia;2020-03-24;474;339;628;383;276;498;96;0;183
-28.0167;153.4;Queensland;Australia;2020-03-23;286;244;324;272;230;312;32;0;67
-28.0167;153.4;Queensland;Australia;2020-03-24;335;268;410;328;236;409;31;0;80
51.0;9.0;;Germany;2020-03-23;30027;27277;33034;28246;25060;31988;3835;2450;5074
51.0;9.0;;Germany;2020-03-24;34327;29882;39344;29671;25845;34314;3537;2037;5578
64.0;26.0;;Finland;2020-03-23;700;632;787;713;602;823;98;33;161
64.0;26.0;;Finland;2020-03-24;790;664;940;828;640;1011;100;2;193
24.0;54.0;;United Arab Emirates;2020-03-23;166;156;179;124;107;136;6;1;12
24.0;54.0;;United Arab Emirates;2020-03-24;183;160;202;137;108;158;8;0;17
13.0;122.0;;Philippines;2020-03-23;438;384;493;405;340;466;72;15;120
13.0;122.0;;Philippines;2020-03-24;506;412;607;502;350;600;90;2;178
21.0;78.0;;India;2020-03-23;479;414;542;446;358;542;98;31;165
21.0;78.0;;India;2020-03-24;575;431;706;527;351;705;108;23;183
43.0;12.0;;Italy;2020-03-23;66314;59645;73655;49467;43587;55929;8101;5269;10734
43.0;12.0;;Italy;2020-03-24;71961;63642;81080;51505;45046;58412;7955;4211;11248
63.0;16.0;;Sweden;2020-03-23;2120;1953;2270;2092;1854;2327;183;104;282
63.0;16.0;;Sweden;2020-03-24;2290;1990;2579;2247;1865;2650;188;57;319
40.0;-4.0;;Spain;2020-03-23;34789;30977;38351;28142;24295;31751;4744;3008;6574
40.0;-4.0;;Spain;2020-03-24;39999;35001;44915;30150;25303;35611;5300;2145;7959
-34.9285;138.6007;South Australia;Australia;2020-03-23;116;80;148;121;83;161;25;7;41
-34.9285;138.6007;South Australia;Australia;2020-03-24;143;92;192;149;94;220;27;0;53
50.8333;4.0;;Belgium;2020-03-23;4070;3566;4538;3536;2966;4072;653;321;993
50.8333;4.0;;Belgium;2020-03-24;4798;4003;5690;4001;3113;4811;599;151;1198
26.0;30.0;;Egypt;2020-03-23;365;323;403;291;246;327;29;4;50
26.0;30.0;;Egypt;2020-03-24;402;345;467;360;264;389;37;0;87
33.8547;35.8623;;Lebanon;2020-03-23;271;244;295;272;226;321;40;8;70
33.8547;35.8623;;Lebanon;2020-03-24;305;255;355;315;243;386;48;7;98
33.0;44.0;;Iraq;2020-03-23;253;234;276;173;155;196;18;2;33
33.0;44.0;;Iraq;2020-03-24;272;244;303;183;153;217;24;0;54
26.0275;50.55;;Bahrain;2020-03-23;348;333;368;189;173;201;27;12;42
26.0275;50.55;;Bahrain;2020-03-24;374;344;400;187;172;214;25;2;44
29.5;47.75;;Kuwait;2020-03-23;199;187;210;171;149;188;18;5;31
29.5;47.75;;Kuwait;2020-03-24;215;192;237;184;157;220;17;0;36
28.0339;1.6596;;Algeria;2020-03-23;234;191;282;156;110;194;55;17;97
28.0339;1.6596;;Algeria;2020-03-24;283;195;387;182;113;264;62;0;125
45.1;15.2;;Croatia;2020-03-23;323;260;379;322;258;420;65;14;123
45.1;15.2;;Croatia;2020-03-24;389;305;522;384;234;522;73;0;151
46.8182;8.2275;;Switzerland;2020-03-23;8905;7871;9961;8225;7113;9579;1302;679;1828
46.8182;8.2275;;Switzerland;2020-03-24;10172;8642;11936;9429;7299;11531;1351;562;2151
47.5162;14.5501;;Austria;2020-03-23;3840;3392;4245;3787;3308;4361;517;205;809
47.5162;14.5501;;Austria;2020-03-24;4398;3796;5156;4366;3519;5228;564;113;936
31.0;35.0;;Israel;2020-03-23;1310;1141;1465;1186;1033;1389;212;88;326
31.0;35.0;;Israel;2020-03-24;1546;1175;1901;1443;1108;1767;254;51;451
30.3753;69.3451;;Pakistan;2020-03-23;1022;888;1158;1022;837;1187;166;31;279
30.3753;69.3451;;Pakistan;2020-03-24;1285;988;1615;1202;894;1590;162;22;299
-14.235;-51.9253;;Brazil;2020-03-23;1966;1643;2270;1878;1405;2438;409;180;660
-14.235;-51.9253;;Brazil;2020-03-24;2436;1766;3066;2307;1633;3168;495;141;812
39.0742;21.8243;;Greece;2020-03-23;671;602;739;644;579;718;73;32;108
39.0742;21.8243;;Greece;2020-03-24;738;646;840;717;587;848;85;27;156
41.6086;21.7453;;North Macedonia;2020-03-23;138;104;176;144;110;176;31;9;52
41.6086;21.7453;;North Macedonia;2020-03-24;178;108;251;168;102;222;33;1;70
60.472;8.4689;;Norway;2020-03-23;2597;2381;2839;2592;2228;2954;263;152;383
60.472;8.4689;;Norway;2020-03-24;2805;2504;3259;2852;2359;3310;293;114;458
45.9432;24.9668;;Romania;2020-03-23;507;432;563;435;355;487;70;21;116
45.9432;24.9668;;Romania;2020-03-24;592;496;702;474;373;585;84;16;174
58.5953;25.0136;;Estonia;2020-03-23;357;322;384;367;318;409;29;6;54
58.5953;25.0136;;Estonia;2020-03-24;390;340;435;408;344;476;28;0;67
43.9424;12.4578;;San Marino;2020-03-23;168;157;177;146;128;164;10;3;19
43.9424;12.4578;;San Marino;2020-03-24;179;165;195;156;128;187;10;0;17
64.9631;-19.0208;;Iceland;2020-03-23;659;570;746;633;550;740;97;40;152
64.9631;-19.0208;;Iceland;2020-03-24;766;589;974;723;573;869;110;4;216
