Lat;Lang;Province;Country;Date;Forecast Confirmed Cases;Forecast Confirmed Cases Upper Bound;Forecast Confirmed Cases Lower Bound;Forecast New Cases;Forecast New Cases Upper Bound;Forecast New Cases Lower Bound
41.1533;20.1683;;Albania;2020-03-26;173;150;192;25;9;42
41.1533;20.1683;;Albania;2020-03-27;198;163;242;26;0;57
28.0339;1.6596;;Algeria;2020-03-26;391;331;457;53;19;91
28.0339;1.6596;;Algeria;2020-03-27;435;335;543;43;0;105
42.5063;1.5218;;Andorra;2020-03-26;232;178;269;35;12;55
42.5063;1.5218;;Andorra;2020-03-27;279;208;359;39;5;71
-38.4161;-63.6167;;Argentina;2020-03-26;512;443;587;60;9;104
-38.4161;-63.6167;;Argentina;2020-03-27;616;462;730;61;0;122
40.0691;45.0382;;Armenia;2020-03-26;321;282;363;21;0;45
40.0691;45.0382;;Armenia;2020-03-27;364;301;432;19;0;48
-33.8688;151.2093;New South Wales;Australia;2020-03-26;1249;1043;1486;201;71;319
-33.8688;151.2093;New South Wales;Australia;2020-03-27;1501;1198;1836;232;24;387
-28.0167;153.4;Queensland;Australia;2020-03-26;552;464;649;73;19;123
-28.0167;153.4;Queensland;Australia;2020-03-27;657;503;808;73;17;139
-34.9285;138.6007;South Australia;Australia;2020-03-26;224;169;272;28;1;57
-34.9285;138.6007;South Australia;Australia;2020-03-27;273;204;346;31;0;63
-37.8136;144.9631;Victoria;Australia;2020-03-26;558;481;645;73;35;108
-37.8136;144.9631;Victoria;Australia;2020-03-27;667;481;824;73;0;160
-31.9505;115.8605;Western Australia;Australia;2020-03-26;228;196;265;24;0;55
-31.9505;115.8605;Western Australia;Australia;2020-03-27;270;216;322;26;1;54
47.5162;14.5501;;Austria;2020-03-26;7212;6395;7864;757;386;1107
47.5162;14.5501;;Austria;2020-03-27;8235;7014;9610;767;294;1286
26.0275;50.55;;Bahrain;2020-03-26;468;426;500;25;2;48
26.0275;50.55;;Bahrain;2020-03-27;492;449;537;28;8;50
50.8333;4.0;;Belgium;2020-03-26;5913;5236;6524;737;396;1084
50.8333;4.0;;Belgium;2020-03-27;6749;5792;7687;713;240;1192
43.9159;17.6791;;Bosnia and Herzegovina;2020-03-26;223;189;255;25;0;53
43.9159;17.6791;;Bosnia and Herzegovina;2020-03-27;257;209;313;27;4;64
-14.235;-51.9253;;Brazil;2020-03-26;2987;2685;3779;420;186;623
-14.235;-51.9253;;Brazil;2020-03-27;3723;3000;4476;478;221;719
4.5353;114.7277;;Brunei;2020-03-26;120;112;129;7;0;17
4.5353;114.7277;;Brunei;2020-03-27;128;112;141;9;0;20
42.7339;25.4858;;Bulgaria;2020-03-26;284;259;314;26;9;43
42.7339;25.4858;;Bulgaria;2020-03-27;320;273;375;26;0;56
12.2383;-1.5616;;Burkina Faso;2020-03-26;185;142;216;32;8;52
12.2383;-1.5616;;Burkina Faso;2020-03-27;223;162;288;35;0;72
53.9333;-116.5765;Alberta;Canada;2020-03-26;462;404;519;40;4;81
53.9333;-116.5765;Alberta;Canada;2020-03-27;530;432;606;43;0;101
49.2827;-123.1207;British Columbia;Canada;2020-03-26;790;675;880;104;40;174
49.2827;-123.1207;British Columbia;Canada;2020-03-27;909;735;1103;84;0;172
44.682;-63.7443;Nova Scotia;Canada;2020-03-26;83;57;110;14;0;30
44.682;-63.7443;Nova Scotia;Canada;2020-03-27;101;70;139;20;0;42
51.2538;-85.3232;Ontario;Canada;2020-03-26;835;705;943;122;34;195
51.2538;-85.3232;Ontario;Canada;2020-03-27;965;789;1137;109;14;204
52.9399;-73.5491;Quebec;Canada;2020-03-26;1868;1389;2349;389;125;675
52.9399;-73.5491;Quebec;Canada;2020-03-27;2248;1572;3032;435;135;701
52.9399;-106.4509;Saskatchewan;Canada;2020-03-26;95;79;110;5;0;20
52.9399;-106.4509;Saskatchewan;Canada;2020-03-27;113;87;141;7;0;24
-35.6751;-71.543;;Chile;2020-03-26;1398;1156;1612;230;82;388
-35.6751;-71.543;;Chile;2020-03-27;1592;1217;2022;269;37;460
4.5709;-74.2973;;Colombia;2020-03-26;588;458;708;97;23;172
4.5709;-74.2973;;Colombia;2020-03-27;728;488;926;141;29;230
9.7489;-83.7534;;Costa Rica;2020-03-26;241;205;278;24;0;46
9.7489;-83.7534;;Costa Rica;2020-03-27;281;232;334;31;0;70
45.1;15.2;;Croatia;2020-03-26;574;453;678;87;31;150
45.1;15.2;;Croatia;2020-03-27;701;532;881;80;0;157
35.1264;33.4299;;Cyprus;2020-03-26;157;138;177;12;0;27
35.1264;33.4299;;Cyprus;2020-03-27;179;143;208;9;0;25
49.8175;15.473;;Czechia;2020-03-26;1963;1738;2142;235;105;382
49.8175;15.473;;Czechia;2020-03-27;2235;1859;2600;246;79;399
61.8926;-6.9118;Faroe Islands;Denmark;2020-03-26;149;133;169;8;1;14
61.8926;-6.9118;Faroe Islands;Denmark;2020-03-27;163;137;185;9;2;17
56.2639;9.5018;;Denmark;2020-03-26;1849;1766;1935;140;58;226
56.2639;9.5018;;Denmark;2020-03-27;1967;1830;2130;174;69;273
18.7357;-70.1627;;Dominican Republic;2020-03-26;545;415;670;92;37;139
18.7357;-70.1627;;Dominican Republic;2020-03-27;651;452;855;118;31;201
-1.8312;-78.1834;;Ecuador;2020-03-26;1525;1313;1734;152;27;282
-1.8312;-78.1834;;Ecuador;2020-03-27;1766;1381;2085;161;0;368
26.0;30.0;;Egypt;2020-03-26;511;466;557;59;24;91
26.0;30.0;;Egypt;2020-03-27;581;501;656;57;9;103
58.5953;25.0136;;Estonia;2020-03-26;438;402;471;27;8;48
58.5953;25.0136;;Estonia;2020-03-27;473;424;512;28;9;50
64.0;26.0;;Finland;2020-03-26;1030;927;1131;95;19;168
64.0;26.0;;Finland;2020-03-27;1136;997;1315;109;17;202
16.25;-61.5833;Guadeloupe;France;2020-03-26;81;73;90;7;2;12
16.25;-61.5833;Guadeloupe;France;2020-03-27;90;74;107;7;0;15
-21.1351;55.2471;Reunion;France;2020-03-26;140;110;168;25;3;45
-21.1351;55.2471;Reunion;France;2020-03-27;168;128;217;26;0;56
