Lat;Lang;Province;Country;Date;Total Confirmed Cases;Total Deaths;Total Recovered;Active Cases;New Cases;New Deaths;New Recovered
15.0;101.0;;Thailand;2020-01-22;2;0;0;2;0;0;0
15.0;101.0;;Thailand;2020-01-23;3;0;0;3;1;0;0
15.0;101.0;;Thailand;2020-01-24;5;0;0;5;2;0;0
15.0;101.0;;Thailand;2020-01-25;7;0;0;7;2;0;0
15.0;101.0;;Thailand;2020-01-26;8;0;2;6;1;0;2
15.0;101.0;;Thailand;2020-01-27;8;0;2;6;0;0;0
15.0;101.0;;Thailand;2020-01-28;14;0;5;9;6;0;3
15.0;101.0;;Thailand;2020-01-29;14;0;5;9;0;0;0
15.0;101.0;;Thailand;2020-01-30;14;0;5;9;0;0;0
15.0;101.0;;Thailand;2020-01-31;19;0;5;14;5;0;0
15.0;101.0;;Thailand;2020-02-01;19;0;5;14;0;0;0
15.0;101.0;;Thailand;2020-02-02;19;0;5;14;0;0;0
15.0;101.0;;Thailand;2020-02-03;19;0;5;14;0;0;0
15.0;101.0;;Thailand;2020-02-04;25;0;5;20;6;0;0
15.0;101.0;;Thailand;2020-02-05;25;0;5;20;0;0;0
15.0;101.0;;Thailand;2020-02-06;25;0;5;20;0;0;0
15.0;101.0;;Thailand;2020-02-07;25;0;5;20;0;0;0
15.0;101.0;;Thailand;2020-02-08;32;0;10;22;7;0;5
15.0;101.0;;Thailand;2020-02-09;32;0;10;22;0;0;0
15.0;101.0;;Thailand;2020-02-10;32;0;10;22;0;0;0
15.0;101.0;;Thailand;2020-02-11;33;0;10;23;1;0;0
15.0;101.0;;Thailand;2020-02-12;33;0;10;23;0;0;0
15.0;101.0;;Thailand;2020-02-13;33;0;12;21;0;0;2
15.0;101.0;;Thailand;2020-02-14;33;0;12;21;0;0;0
15.0;101.0;;Thailand;2020-02-15;33;0;12;21;0;0;0
15.0;101.0;;Thailand;2020-02-16;34;0;14;20;1;0;2
15.0;101.0;;Thailand;2020-02-17;35;0;15;20;1;0;1
