Date,Total Confirmed Cases,Forecast Confirmed Cases,Forecast Confirmed Cases Upper Bound,Forecast Confirmed Cases Lower Bound,uid,Lat,Lang,Province,Country,ACC: Forecast Confirmed Cases
2020-03-13,75,62,63,61,Thailand-NaN,15.0,101.0,,Thailand,0.79
2020-03-14,82,62,63,62,Thailand-NaN,15.0,101.0,,Thailand,0.68
2020-03-15,114,64,64,63,Thailand-NaN,15.0,101.0,,Thailand,0.22
2020-03-16,147,64,65,63,Thailand-NaN,15.0,101.0,,Thailand,-0.3
2020-03-17,177.0,66,68,63,Thailand-NaN,15.0,101.0,,Thailand,-0.68
2020-03-13,701,748,756,739,Japan-NaN,36.0,138.0,,Japan,0.94
2020-03-14,773,815,827,806,Japan-NaN,36.0,138.0,,Japan,0.95
2020-03-15,839,867,880,853,Japan-NaN,36.0,138.0,,Japan,0.97
2020-03-16,825,899,908,888,Japan-NaN,36.0,138.0,,Japan,0.92
2020-03-17,878.0,1036,1044,1026,Japan-NaN,36.0,138.0,,Japan,0.85
2020-03-13,200,187,190,184,Singapore-NaN,1.2833,103.8333,,Singapore,0.93
2020-03-14,212,208,212,205,Singapore-NaN,1.2833,103.8333,,Singapore,0.98
2020-03-15,226,240,244,235,Singapore-NaN,1.2833,103.8333,,Singapore,0.94
2020-03-16,243,233,237,230,Singapore-NaN,1.2833,103.8333,,Singapore,0.96
2020-03-17,266.0,238,243,233,Singapore-NaN,1.2833,103.8333,,Singapore,0.88
2020-03-13,197,153,155,150,Malaysia-NaN,2.5,112.5,,Malaysia,0.71
2020-03-14,238,151,153,149,Malaysia-NaN,2.5,112.5,,Malaysia,0.42
2020-03-15,428,155,157,154,Malaysia-NaN,2.5,112.5,,Malaysia,-0.76
2020-03-16,566,169,170,168,Malaysia-NaN,2.5,112.5,,Malaysia,-1.35
2020-03-17,673.0,163,164,162,Malaysia-NaN,2.5,112.5,,Malaysia,-2.13
2020-03-13,64,41,44,39,Canada-British Columbia,49.2827,-123.1207,British Columbia,Canada,0.44
2020-03-14,64,44,47,41,Canada-British Columbia,49.2827,-123.1207,British Columbia,Canada,0.55
2020-03-15,73,47,50,43,Canada-British Columbia,49.2827,-123.1207,British Columbia,Canada,0.45
2020-03-16,103,44,47,41,Canada-British Columbia,49.2827,-123.1207,British Columbia,Canada,-0.34
2020-03-17,103.0,42,44,39,Canada-British Columbia,49.2827,-123.1207,British Columbia,Canada,-0.45
2020-03-13,92,56,56,56,Australia-New South Wales,-33.8688,151.2093,New South Wales,Australia,0.36
2020-03-14,112,55,55,54,Australia-New South Wales,-33.8688,151.2093,New South Wales,Australia,-0.04
2020-03-15,134,54,54,54,Australia-New South Wales,-33.8688,151.2093,New South Wales,Australia,-0.48
2020-03-16,171,55,55,55,Australia-New South Wales,-33.8688,151.2093,New South Wales,Australia,-1.11
